caller_file,requested_path,normalized_path,external,server_route_exists,server_route_mounted,matched_controller,loose_match,path_fragment,status
apps/web/src/app/app/key-connect/components/calendar-sync-settings.tsx,/bookings/businesses/:param/calendar/settings,/bookings/businesses/:param/calendar/settings,FALSE,TRUE,TRUE,BookingsController,,,OK
apps/web/src/app/app/key-connect/components/calendar-sync-settings.tsx,/bookings/businesses/:param/calendar/conflicts/scan,/bookings/businesses/:param/calendar/conflicts/scan,FALSE,TRUE,TRUE,BookingsController,,,OK
apps/web/src/app/app/key-connect/components/calendar-sync-settings.tsx,/bookings/businesses/:param/calendar/conflicts/:param/resolve,/bookings/businesses/:param/calendar/conflicts/:param/resolve,FALSE,TRUE,TRUE,BookingsController,,,OK
apps/web/src/app/app/key-connect/components/connector-credential-dialog.tsx,/connectors/businesses/:param/credentials/:param,/connectors/businesses/:param/credentials/:param,FALSE,TRUE,TRUE,ConnectorController,,,OK
apps/web/src/app/app/key-connect/components/connector-credential-dialog.tsx,/connectors/businesses/:param/webhook-info/:param,/connectors/businesses/:param/webhook-info/:param,FALSE,TRUE,TRUE,ConnectorController,,,OK
apps/web/src/app/app/key-connect/components/connector-health-section.tsx,/connectors/businesses/:param/test/:param,/connectors/businesses/:param/test/:param,FALSE,TRUE,TRUE,ConnectorController,,,OK
apps/web/src/app/app/key-connect/components/connector-health-section.tsx,/connectors/businesses/:param/reconnect/:param,/connectors/businesses/:param/reconnect/:param,FALSE,TRUE,TRUE,ConnectorController,,,OK
apps/web/src/app/app/key-connect/components/connector-health-section.tsx,/connectors/businesses/:param/disconnect/:param,/connectors/businesses/:param/disconnect/:param,FALSE,TRUE,TRUE,ConnectorController,,,OK
apps/web/src/app/app/key-connect/components/contact-sync-settings.tsx,/connect/businesses/:param/:param/status,/connect/businesses/:param/:param/status,FALSE,FALSE,,,/connect/businesses/:businessId/forms/:formId /connect/businesses/:businessId/forms/:formId /connect/businesses/:businessId/connector-forms/:source,,UNVERIFIED
apps/web/src/app/app/key-connect/components/contact-sync-settings.tsx,/connect/businesses/:param/:param/recent,/connect/businesses/:param/:param/recent,FALSE,FALSE,,,/connect/businesses/:businessId/forms/:formId /connect/businesses/:businessId/forms/:formId /connect/businesses/:businessId/connector-forms/:source,,UNVERIFIED
apps/web/src/app/app/key-connect/components/contact-sync-settings.tsx,/identity/businesses/:param/team,/identity/businesses/:param/team,FALSE,TRUE,TRUE,IdentityController,,,OK
apps/web/src/app/app/key-connect/components/contact-sync-settings.tsx,/connect/businesses/:param/:param/sync,/connect/businesses/:param/:param/sync,FALSE,FALSE,,,/connect/businesses/:businessId/forms/:formId /connect/businesses/:businessId/forms/:formId /connect/businesses/:businessId/connector-forms/:source,,UNVERIFIED
